depth,GR,RT,DEN,DT,NEUT,ka_insitu
8100.15,53.57,196.18,2.06,144.78,0.43,4410
8101,52.16,170.56,2.1,144.96,0.44,4734
8102,53.055,153.26,2.09,145.41,0.44,7155
8103.6,53.23,140.6034,2.06,145.16,0.45,5749
8104.9,51.805,89.04,2.1,145.65,0.45,6097
8106.2,49.81,36.46,2.07,145.27,0.4,4460
8106.95,49.9,18.66,2.07,145.1,0.45,5331
8107.95,49.94,6.21,2.12,146.68,0.43,7401
8109.55,54.645,6.0748,2.1044,152.38,0.45,5757
8110.3,56.83,7.783,2.0923,152.79,0.4484,5334
8111.05,51.76,9.99,2.09,152.38,0.43,8025
8112.3,47.88,65.27,2.02,150.86,0.4,4922
8113.3,49.445,245.55,2.03,149.55,0.4,5575
8115.9,46.865,140.68,2,147.96,0.41,6192
8116.85,48.185,135.95,2.01,147.09,0.39,5219
8118.2,48.32,137.07,2.04,148.13,0.38,6667
8119,46.84,142.74,2.04,149.92,0.36,8900
8120,49.055,159.1,2.02,150.51,0.37,6356
8121.3,49.1,179.79,2.03,149.09,0.35,5559
11188.5,127.9813,2.63,2.37,121.0629,0.43,6582
11190.2,113.595,2.81,2.37,120.9649,0.38,4096
11193.4,89.53,2.6,2.32,121.082,0.4,3518
11196,70.485,47.34,2.15,121.293,0.3,5953
11200.4,75.39,9.59,2.18,120.944,0.35,6798
11201.1,66.53186,15.62,2.2,120.882,0.28,7236
11201.9,57.89,25.34,2.07,120.622,0.19,1776
11202.7,38.77,115.62,2.04,121.147,0.18,4029
11206.5,37.025,93.1549,2.0684,121.147,0.1962,5237
11207,30.38,106.3073,2.0711,121.147,0.1945,5023
11207.7,30.19,138.89,2.07,121.147,0.18,5381
11208.65,30.345,158.96,2.07,121.147,0.17,7038
11210,31.605,167.41,2.07,121.147,0.18,5316
11211,31.805,163.04,2.07,121.147,0.19,5061
11212.4,32.75,151.36,2.07,121.147,0.17,7171
11214,33.88137,161.71,2.09,121.147,0.19,6046
11214.6,33.59027,161.99,2.06,121.147,0.2,5870
11217,30.48,198.73,2.06,121.147,0.2,6225
11218.25,37.34,227.68,2.05,121.147,0.2,5955
11219,37.625,239.91,2.06,121.147,0.2,4127
11220,35.745,254.34,2.05,121.147,0.2,4923
11221.25,39.1,261.12,2.02,121.147,0.21,3593
11222,35.63137,384.96,2.02,121.147,0.19,4931
11222.8,36.36024,311.36,2.06,121.147,0.18,5285
11223.8,35.51,423.27,2.08,121.147,0.18,3960
11225,30.885,406.4,2.08,121.147,0.18,4511
11226,33.20193,442.17,2.14,121.147,0.16,4698
11226.9,34.48053,456.0729,2.1929,121.162,0.15,5162
11227.2,35.94,500.8891,2.1974,121.121,0.149,3345
11229,35.155,406.04,2.17,121.147,0.16,5113
11230.1,38.45,452.37,2.12,121.147,0.19,6284
11586.5,82.56,10.095,2.4053,120.89,0.28,4310
11587.4,48.54,9.59,2.3364,120.629,0.2647,3696
11589.5,38.58,15.21,2.17,120.775,0.18,3570
11591.35,34.37,18.38,2.15,120.775,0.18,5345
11591.9,35.11,17.14,2.12,120.775,0.2,3010
12676.5,115.1539,12.96,2.11,121.195,0.25,1029
12679.55,115.6794,4.78,2.37,120.9969,0.28,1419
12685.5,37.89708,6.14,2.27,120.865,0.32,447
12688.3,83.61037,4.22,2.41,120.923,0.31,816
12689,115.14,2.99,2.45,120.9739,0.36,1339
12690,111.58,3.65,2.36,121.0299,0.28,2279
12690.9,110.79,9.45,2.32,121.0329,0.28,1917
12693.2,114.18,20.54,2.26,121.2749,0.29,8249
12698,113.71,61.26,2.21,121.462,0.17,4309
12699.1,110.63,46.93,2.21,121.462,0.16,3097
12700,116.34,49.59,2.22,121.5029,0.14,417
12702.2,113.13,65.86,2.25,121.4979,0.14,2275
12703,122.34,59.92,2.23,121.4979,0.15,4319
12704,124.74,62.55,2.17,121.502,0.18,6007
12704.8,119.71,74.37,2.13,121.502,0.22,5692
12707,120.49,38.36,2.18,121.55,0.27,8092
12708.2,123.35,22.83,2.21,121.239,0.25,10559
12709,125.73,21.3,2.18,121.243,0.22,7669
12710,126.46,85,2.15,121.502,0.19,10628
12712,124.21,53.72,2.16,121.502,0.16,5429
12713,122.69,62.04,2.16,121.502,0.16,4839
12713.8,125.82,64.37,2.18,121.55,0.15,2902
12716.8,118.59,96.88,2.23,121.4979,0.14,5935
12719,129.93,42.09,2.25,121.4979,0.13,6003
12719.9,129.51,135.15,2.28,121.4979,0.13,13108
12721,123.81,79.33,2.26,121.4979,0.15,8918
12723.9,113.12,6,2.15,121.159,0.19,80
12725.15,119.97,20.47,2.13,121.195,0.17,34
12729.3,36.03,279.08,2.27,121.219,0.13,117
12730,51.41,201.85,2.28,121.099,0.19,8460
12731,78.16,47.99,2.29,121.301,0.25,1927
12731.8,104.15,8.32,2.32,121.0329,0.28,2261
12734,101.46,16.92,2.23,121.2749,0.3,5514
12736,65.95,9.74,2.19,120.963,0.22,4061
12737,37.08,41.31,2.21,121.146,0.14,3810
12739.05,27.21,67.09,2.27,121.219,0.12,2021
12739.85,27.97,44.65,2.27,121.219,0.13,3036
12740.55,27.59,91.88,2.27,121.219,0.12,154
12741.8,27.84,148.7,2.26,121.219,0.12,1575
12742,30.09,142.6055,2.26,121.219,0.12,568
12743.85,34.62,42.441,2.27,121.219,0.12,1287
12744.3,44.99,43.1548,2.2812,121.177,0.126,2038
12744.8,60.69,92.21,2.29,121.044,0.13,3525
12746.9,101.47,21.66,2.24,121.2749,0.24,4434
12748.65,86.16,8.82,2.22,121.318,0.25,4191
12749.85,82.76,20.86,2.13,121.019,0.22,7771
12751,62.54,134.43,2.1,121.022,0.17,3638
12752.1,42.02,189.1,2.14,121.075,0.17,4903
12754,33.44,76.75,2.15,121.147,0.17,2624
12754.9,33.77,127.16,2.13,121.147,0.16,3740
12755.85,26.98,192.9087,2.1596,121.147,0.15,451
12756.25,24.73,199.5024,2.1843,121.165,0.1408,1601
12759.8,28.31,160.46,2.23,121.219,0.13,1850
12762.05,35.64,162.95,2.22,121.224,0.15,2968
12763.05,36.56,186.25,2.19,121.165,0.15,4732
12765.05,40.96,215.65,2.14,121.147,0.2,1457
12771.3,29.79,241.57,2.3,121.106,0.12,1876
12772.3,29.83,271.03,2.32,120.965,0.11,2799
12772.9,30.79,219.4,2.31,121.106,0.11,2038
12775,32.09,233.99,2.25,121.219,0.15,5188
12775.9,33.38,291.65,2.23,121.219,0.15,4213
12778,29.27,338.61,2.31,121.106,0.12,4200
12780,29.56,235.79,2.32,120.965,0.12,4424
12782.2,30.1,122,2.27,121.219,0.15,4704
12783,36.48,143.04,2.19,121.165,0.18,3947
12784,47.6,72.83,2.16,121.075,0.2,1655
12785.35,35.15,290.4,2.17,121.147,0.17,5
12786,33.43,425.78,2.21,121.146,0.14,2481
12787.7,32.04,131.1597,2.3744,120.959,0.09,3518
12788.35,29.03,166.9462,2.3707,120.959,0.0851,3804
12789.5,27.13,183.76,2.34,120.962,0.09,2725
12791,33.83,84.68,2.34,120.962,0.1,4792
12792,36.54,131.1597,2.34,120.962,0.11,349
12792.25,31.78,166.9462,2.29,121.137,0.11,81
12792.5,31.03,125.62,2.2901,121.137,0.119,1097
12793,31.03,37.3109,2.2501,121.219,0.1129,100
12793.45,30.87,84.2981,2.2452,121.219,0.1089,1613
12793.65,30.21,165.35,2.26,121.219,0.1,1696
12794.1,30.21,254.38,2.25,121.219,0.1039,4
12794.4,27.56,377.6525,2.2635,121.219,0.1061,1
12795.25,23.56,855.32,2.26,121.219,0.1,29
12795.7,25.81,570.6143,2.28,121.219,0.1,1028
12796.45,28.34,200.9691,2.3206,120.965,0.0899,694
12797.1,28.36,91.11,2.36,120.959,0.09,737
12798.6,46.54,46.05,2.37,120.917,0.14,506
12800.4,74.97,23.71,2.29,121.044,0.2,1031
12801,82.16,23.93,2.2,121.018,0.25,36
12802,80.35,28.59,2.18,121.406,0.25,1560
12802.9,95.04,16.84,2.23,121.3135,0.25,5060
12807.7,93.6,25.3286,2.22,121.3185,0.2292,1267
12808.2,93.23,14.0173,2.2086,121.239,0.2345,1994
12808.8,87.6,9.9551,2.15,121.1738,0.2474,2894
12809.2,75.27,9.1497,2.1054,121.013,0.2419,1727
12810.1,64.4,16.6,2.09,120.65,0.23,1631
12811,53.52,49.73,2.11,120.997,0.22,1175
12811.75,69.03,59.15,2.2,121.155,0.23,1395
12814,86.6,18.26,2.38,121.043,0.3,4700
12815.75,55.01,63.9,2.08,120.997,0.23,2575
12817,40.31,162.05,2.09,121.147,0.18,2656
12817.7,40.19,62.39,2.16,121.147,0.18,4256
12819,47.01,70.13,2.18,121.123,0.21,1072
12820,52.41,129.44,2.16,120.997,0.18,1918
12820.9,53.85,74.58,2.17,120.997,0.23,1935
12823.05,53.01,27.27,2.21,120.777,0.12,3123
12824.2,42.88,88.05,2.27,121.177,0.11,1952
12825,35.68,232.76,2.29,121.137,0.12,1773
12826,32.41,161.29,2.28,121.219,0.13,1158
12827.2,38.21,86.02,2.25,121.219,0.15,2263
12828,43.51,97.94,2.22,121.182,0.17,2883
12829,37.47,144.14,2.25,121.219,0.15,1164
12830.4,36.15,187.27,2.3,121.106,0.13,2255
12831,34.01,222.8,2.29,121.137,0.14,2148
12832.15,36.27,196.33,2.28,121.219,0.14,2600
12834,35.01,225.78,2.22,121.224,0.18,4816
12835.15,39.9,199.51,2.21,121.146,0.19,2291
12838,34.39,214.04,2.27,121.219,0.14,2923
12839.2,33.43,281.74,2.32,120.965,0.13,2628
12840,32.89,300.28,2.3,121.106,0.14,1222
12841,37.49,292.31,2.28,121.219,0.14,1057
12842.2,35.94,353.05,2.28,121.219,0.13,1349
12843,31.6,319,2.29,121.137,0.13,1844
12844,30.57,354.59,2.31,121.106,0.12,1262
12845.3,33.48,323.84,2.32,120.965,0.12,2361
12846,36.92,307.94,2.34,120.962,0.11,2352
9305.25,81.39,1.35,2.32,123.5,0.49,1652
9319.3,93.09,2.18,2.14,129.2,0.44,1734
9319.8,89.1,2.69,2.16,128.8,0.43,2948
9322.25,82.44,3.09,2.14,132.5,0.38,2043
9323.75,90.07,3.8058,2.1,128.7,0.41,111
9324.15,91.09,3.0873,2.1274,128.7,0.41,3017
9324.6,89.89,2.5643,2.15,130.8,0.42,667
9325.4,87.8,2.6225,2.1261,132.3,0.4101,7059
9325.7,87.34,2.9484,2.13,131.3,0.42,1126
9326.45,90.04,3.646,2.1115,131.8,2.3105,2962
9327.3,93.99,2.95,2.12,131.3,2.26,1581
9328.1,101.35,2.33,2.18,129.6,0.37,1914
9328.65,91.43,2.0422,2.1895,127.9,0.39,4632
9329.35,89.33,1.7509,2.2031,128.8,0.3986,2677
9331.3,87.9,2.68,2.18,130.9,0.36,2321
9332.3,80.05,8.06,2.09,130.7,0.37,101
9333.15,76.64,1.927,1.9855,130.1,0.36,6306
9333.4,75.59,2.169,1.9741,127.6,0.3957,1389
9333.8,79.67,2.6812,1.9954,128.4,0.45,7590
9334.45,81.55,4.1028,2.0437,127,0.3567,6743
9336.8,81.34,3.2786,2.1326,127.5,2.1342,4246
9337.4,84.45,2.8572,2.1152,127.3,2.1218,4968
9339.95,74.52,15.9593,2.057,132.3,0.48,8264
9340.4,73.6,21.115,2.0183,130.6,2.3256,4308
9340.65,72.81,17.74,2,130.6,2.3202,3137
9362,36.67,1943.03,2,129.7,0.41,464
9362.8,34.57,1950,2.01,131.3,0.37,1891
9363.65,34.99,1950,2.03,127.9,0.4,287
9367.5,38.43,48.89,2.1,122.8,0.3209,1834
9373.5,77.31,2.0579,2.2406,121,0.5004,8180
9374.25,73.13,2.4476,2.243,122.5,0.4721,3097
8327.45,91.86,4.7,2.3,117.6343,0.43,327
8327.9,86.52,4.65,2.29,117.7906,0.43,1008
8328.75,102.7,4.63,2.27,118.1517,0.35,2279
8329.5,85.7,4.59,2.28,118.0656,0.36,3978
8331,97.28,4.59,2.29,117.9224,0.37,2393
8358.8,80.28,3.61,2.29,117.8205,0.41,441
8366.4,84.14,3.59,2.22,117.7254,0.41,4706
8367.4,80.28,3.59,2.07,118.7789,0.39,6811
8384.2,98.84,3.67,2.03,118.4984,0.46,5888
8385.2,99.59,3.69,2.03,118.5018,0.5,8820
8406.3,90.38,3.69,1.97,118.3955,0.49,3950
8407.3,87.26,3.73,1.97,118.5666,0.47,5860
8408.3,94.24,3.75,1.98,118.3132,0.5,2975
8409.3,88,3.82,1.98,118.5608,0.49,4689
8410.2,93.42,3.84,1.98,118.4169,0.41,5062
8411.2,91.86,3.86,1.98,118.4229,0.41,3488
8412.4,96.54,3.91,1.97,118.3188,0.43,3706
8413.35,91.12,3.95,1.96,118.3955,0.5,3579
8414.4,83.4,3.99,1.96,118.5641,0.43,3618
8415.7,84.14,4.28,1.96,118.566,0.47,5838
8417.4,84.14,4.54,1.97,118.5602,0.54,5190
8418.45,80.28,4.88,1.96,118.5602,0.55,3039
8419.15,74.86,5.35,1.96,118.5602,0.5,4251
8420.15,86.52,5.93,1.98,118.5647,0.44,2577
8421.45,74.12,6.54,1.97,118.5569,0.48,1709
8450.3,94.03,1.39,2.22,116.65,0.48,493
8451.2,96.89,1.36,2.22,116.68,0.46,1920
8452.4,90.43,1.36,2.22,116.72,0.49,1419
8453.9,87.64,1.68,2.22,116.8,0.42,1842
8456.2,94.02,1.54,2.22,116.87,0.44,16
8459.3,97.8,1.63,2.22,116.98,0.4,7700
8461.2,97.78,1.65,2.22,117.06,0.47,3662
8478.7,92.86,1.48,2.27,117.73,0.38,5140
8480.7,99.47,1.56,2.23,118.81,0.35,2215
8481.7,95.1,1.32,2.2,122.91,0.37,4546
8482.7,93.3,1.14,2.22,122.65,0.41,5427
8488,99.72,1.52,2.27,118.79,0.39,6331
8489,90.12,1.66,2.23,120.65,0.37,7206
8490,90.03,1.71,2.16,124.2,0.35,4908
8490.6,88.67,1.7547,2.1254,122.97,0.3578,5324
8491,87.34,1.8023,2.1406,122.11,0.3647,4664
8682.05,87.77,0.69,2.32,134.72,0.43,9373
8685.6,84.65,0.8264,2.3256,130.31,0.4417,5422
8686.2,83.65,0.8282,2.3202,129.47,0.3983,3946
8687.05,82.38,0.83,2.31,127.76,0.45,5612
8689.3,77.68,0.86,2.33,129.41,0.49,3895
8690.7,82.85,1.03,2.32,127.39,0.45,188
8691.4,84.61,1.1079,2.3125,126.61,0.4375,6131
8697,86.47,4.77,2.14,127.48,0.29,4612
8697.5,81.06,11.88,2.06,129.15,0.24,3875
8698.9,76.79,14.78,2.03,129.48,0.26,9836
8700.5,85.11,9.6662,2.0092,127.88,0.3,5254
8701.4,81.1,3.2206,2.1014,127.48,0.317,20
8702.25,82.91,2.94,2.14,126.67,0.33,8993
8704.2,89.4,1.93,2.16,126.73,0.35,8331
8705.2,86.7,1.29,2.3,126.62,0.41,8575
8707.35,89.61,1.89,2.26,128.26,0.34,9558
8708.2,84.53,3.42,2.16,129.34,0.33,9494
8709.35,78.83,4.05,2.06,131.2,0.29,6777
8710.3,94.32,2.14,2.17,132.92,0.4,8708
8711.3,86.92,3.61,2.15,134.64,0.36,9591
8712.25,89.2,19.7,2.02,133.51,0.26,7389
8713.25,85.63,337.49,1.98,129.7,0.28,9681
8714.1,95.38,154.99,1.99,129.34,0.27,8864
